# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 1x64x1x87
6.484011e-04 9.109649e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 -4.625000e+00
1.135958e-03 1.300786e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -3.875000e+00
2.657377e-03 1.809332e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -3.125000e+00
4.657638e-03 2.426988e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -2.375000e+00
8.294233e-03 3.113831e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -1.625000e+00
1.139122e-02 3.635467e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -8.750000e-01
1.268594e-02 3.892949e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 -1.250000e-01
1.339675e-02 3.831550e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 6.250000e-01
1.037791e-02 3.329347e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 1.375000e+00
6.408129e-03 2.623857e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 2.125000e+00
2.194049e-03 1.646995e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 2.875000e+00
6.365096e-04 8.273831e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 3.625000e+00
5.420252e-05 3.019505e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 4.375000e+00
6.469605e-05 2.697086e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 5.125000e+00
6.708720e-05 3.021548e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 5.875000e+00
-7.896801e-06 2.914508e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 6.625000e+00
2.538216e-05 3.399818e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 7.375000e+00
7.715360e-05 3.805839e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 8.125000e+00
1.394479e-04 4.194963e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 8.875000e+00
5.932129e-05 4.286774e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 9.625000e+00
3.698500e-05 3.351208e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.037500e+01
-6.359823e-05 4.329309e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.112500e+01
7.437800e-05 6.457439e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.187500e+01
-2.310626e-05 4.913460e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.262500e+01
6.897475e-05 7.703726e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.337500e+01
-6.916279e-05 6.785854e-05 -1.750000e+00 -3.150000e+00 0.000000e+00 1.412500e+01
1.133254e-04 1.187310e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 1.487500e+01
1.681821e-05 2.090107e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 1.562500e+01
0.000000e+00 0.000000e+00 -1.750000e+00 -3.150000e+00 0.000000e+00 1.637500e+01
-1.112057e-04 1.112057e-04 -1.750000e+00 -3.150000e+00 0.000000e+00 1.712500e+01
0.000000e+00 0.000000e+00 -1.750000e+00 -3.150000e+00 0.000000e+00 1.787500e+01
0.000000e+00 0.000000e+00 -1.750000e+00 -3.150000e+00 0.000000e+00 1.862500e+01
0.000000e+00 0.000000e+00 -1.750000e+00 -3.150000e+00 0.000000e+00 1.937500e+01
0.000000e+00 0.000000e+00 -1.750000e+00 -3.150000e+00 0.000000e+00 2.012500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.087500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.162500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.237500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.312500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.387500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.462500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.537500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.612500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.687500e+01
nan nan -1.750000e+00 -3.150000e+00 0.000000e+00 2.762500e+01
