# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 1x64x1x87
-2.694679e-05 3.205887e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -4.625000e+00
1.190702e-04 3.569924e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -3.875000e+00
1.085371e-04 4.915291e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -3.125000e+00
2.376185e-04 6.425665e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -2.375000e+00
2.706348e-04 7.872131e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -1.625000e+00
3.300864e-04 9.984383e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 -8.750000e-01
4.976711e-04 1.064122e-04 -5.000000e-01 -3.150000e+00 0.000000e+00 -1.250000e-01
5.131565e-04 1.104744e-04 -5.000000e-01 -3.150000e+00 0.000000e+00 6.250000e-01
4.055770e-05 1.109147e-04 -5.000000e-01 -3.150000e+00 0.000000e+00 1.375000e+00
2.043882e-04 9.582896e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 2.125000e+00
2.120541e-05 7.586750e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 2.875000e+00
2.236427e-04 5.124469e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 3.625000e+00
2.150643e-05 2.433461e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 4.375000e+00
7.044181e-06 1.958391e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 5.125000e+00
4.634683e-05 2.560688e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 5.875000e+00
5.013031e-06 1.951303e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 6.625000e+00
3.218265e-05 2.149435e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 7.375000e+00
7.900735e-05 2.660877e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 8.125000e+00
-7.992623e-06 2.008764e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 8.875000e+00
-1.869844e-05 2.039964e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 9.625000e+00
-4.095705e-05 2.185079e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.037500e+01
-1.691809e-05 2.032603e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.112500e+01
1.299357e-05 1.295464e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.187500e+01
2.626548e-05 1.685664e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.262500e+01
2.622250e-05 1.847692e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.337500e+01
4.818586e-05 1.751542e-05 -5.000000e-01 -3.150000e+00 0.000000e+00 1.412500e+01
