# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 1x64x1x87
4.327911e-05 2.435283e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -4.625000e+00
7.191638e-05 2.717308e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -3.875000e+00
1.742406e-04 4.010177e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -3.125000e+00
2.608928e-04 4.948772e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -2.375000e+00
4.212834e-04 6.068572e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -1.625000e+00
5.336226e-04 7.470101e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -8.750000e-01
5.688301e-04 7.910883e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 -1.250000e-01
7.902632e-04 8.515997e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 6.250000e-01
5.661619e-04 7.052545e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.375000e+00
4.125707e-04 5.905156e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 2.125000e+00
2.666665e-04 4.437418e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 2.875000e+00
5.031145e-05 2.683510e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 3.625000e+00
5.366820e-05 1.952570e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 4.375000e+00
3.310984e-05 1.850464e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 5.125000e+00
2.138800e-05 1.737253e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 5.875000e+00
-3.534302e-06 1.777869e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 6.625000e+00
4.679491e-05 1.953777e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 7.375000e+00
3.872321e-05 2.320587e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 8.125000e+00
3.623514e-05 2.293870e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 8.875000e+00
4.642180e-05 2.265191e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 9.625000e+00
1.141777e-05 2.447743e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.037500e+01
2.621286e-05 2.450960e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.112500e+01
-2.303197e-05 1.998005e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.187500e+01
-2.181768e-05 2.039013e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.262500e+01
4.557832e-05 2.522769e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.337500e+01
2.804206e-05 2.148350e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.412500e+01
6.982635e-05 2.684277e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.487500e+01
4.642529e-05 2.715913e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.562500e+01
7.161839e-05 2.573627e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.637500e+01
1.074675e-04 2.887993e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.712500e+01
7.196168e-05 2.738457e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.787500e+01
6.781172e-06 2.397024e-05 -1.250000e+00 -3.150000e+00 0.000000e+00 1.862500e+01
